,city_number,resources_remaining,severity,resources_allocated,resources_effectively_allocated,damage
0,1.0,40.0,5.0,7.337584018707275,7.337584018707275,0.0
1,2.0,32.66241455078125,6.0,8.856378555297852,8.856378555297852,0.11489725112915039
2,3.0,23.8060359954834,4.0,6.913060188293457,6.913060188293457,0.7670612335205078
3,4.0,16.892974853515625,5.0,8.616915702819824,8.616915702819824,3.3202948570251465
4,5.0,8.2760591506958,8.0,9.195727348327637,8.2760591506958,11.265083312988281
5,1.0,40.0,8.0,9.17431354522705,9.17431354522705,0.0
6,2.0,30.825687408447266,2.0,5.5927276611328125,5.5927276611328125,0.0
7,3.0,25.232959747314453,3.0,5.874290466308594,5.874290466308594,0.0
8,4.0,19.35866928100586,2.0,5.613886833190918,5.613886833190918,0.0
9,5.0,13.744782447814941,5.0,8.367566108703613,8.367566108703613,0.9794602394104004
10,6.0,5.377216339111328,2.0,5.708594799041748,5.377216339111328,1.2285737991333008
11,7.0,0.0,5.0,8.761065483093262,0.0,7.228573799133301
12,1.0,40.0,6.0,8.689909934997559,8.689909934997559,0.0
13,2.0,31.310089111328125,3.0,5.82878303527832,5.82878303527832,0.0
14,3.0,25.481306076049805,6.0,8.975025177001953,8.975025177001953,0.01997995376586914
15,4.0,16.50628089904785,6.0,9.091026306152344,9.091026306152344,1.765364646911621
16,5.0,7.415254592895508,2.0,5.838119983673096,5.838119983673096,1.8301167488098145
17,6.0,1.577134609222412,5.0,8.983144760131836,1.577134609222412,7.514689922332764
18,1.0,40.0,3.0,5.692865371704102,5.692865371704102,0.0
19,2.0,34.30713653564453,4.0,6.211870193481445,6.211870193481445,0.0
20,3.0,28.095266342163086,3.0,5.746705055236816,5.746705055236816,0.1519773006439209
21,4.0,22.348560333251953,6.0,8.869132995605469,8.869132995605469,3.8043243885040283
22,5.0,13.479427337646484,5.0,8.416301727294922,8.416301727294922,8.121064186096191
23,1.0,40.0,3.0,5.695704936981201,5.695704936981201,0.0
24,2.0,34.30429458618164,5.0,7.493847846984863,7.493847846984863,1.5036911964416504
25,3.0,26.810447692871094,7.0,9.13988971710205,9.13988971710205,6.247735500335693
26,4.0,17.67055892944336,4.0,7.120306491851807,7.120306491851807,9.623674392700195
27,1.0,40.0,3.0,5.699668884277344,5.699668884277344,0.0
28,2.0,34.300331115722656,4.0,6.229345321655273,6.229345321655273,0.0
29,3.0,28.070985794067383,8.0,9.183576583862305,9.183576583862305,2.253139019012451
